id,filename,date,vol,no,pages,words
90373,cn1948-04-21.txt,1948-04-21,34,21,4,8256
87034,cn1936-02-26.txt,1936-02-26,22,14,6,13929
90136,cn1948-12-08.txt,1948-12-08,35,10,6,12969
92058,cn1956-10-10.txt,1956-10-10,43,2,6,12804
92208,cn1961-10-11.txt,1961-10-11,48,3,6,15596
87358,cn1930-02-26.txt,1930-02-26,16,14,6,16179
90447,cn1946-09-30.txt,1946-09-30,33,1,4,7349
6995,cn1918-03-21.txt,1918-03-21,4,20,6,9280
91258,cn1956-10-17.txt,1956-10-17,43,3,6,10970
90339,cn1948-10-06.txt,1948-10-06,35,2,4,8175
91117,cn1949-05-31.txt,1949-05-31,35,25,6,9451
90703,cn1951-03-21.txt,1951-03-21,37,17,8,17275
6803,cn1916-02-14.txt,1916-02-14,3,15,6,10508
35240,cn1919-11-25.txt,1919-11-25,6,9,6,9472
88218,cn1928-05-09.txt,1928-05-09,14,24,6,20125
91395,cn1954-12-01.txt,1954-12-01,41,9,6,12648
87811,cn1934-12-12.txt,1934-12-12,21,8,6,14783
35255,cn1920-04-28.txt,1920-04-28,6,25,6,10061
92109,cn1958-12-10.txt,1958-12-10,45,9,6,13609
86695,cn1924-03-19.txt,1924-03-19,10,19,6,10412
88596,cn1943-12-01.txt,1943-12-01,30,10,4,8652
90765,cn1948-02-18.txt,1948-02-18,34,14,4,7543
35235,cn1919-10-21.txt,1919-10-21,6,4,4,6853
6993,cn1918-03-14.txt,1918-03-14,4,19,6,9342
90653,cn1952-04-23.txt,1952-04-23,38,22,6,11399
93288,cn1968-03-01.txt,1968-03-01,54,15,12,27001
87299,cn1932-01-13.txt,1932-01-13,18,10,4,10294
91848,cn1955-05-02.txt,1955-05-02,41,23,6,13249
93301,cn1963-02-13.txt,1963-02-13,49,12,6,18712
6506,cn1915-01-07.txt,1915-01-07,1,12,4,5388
86616,cn1924-10-29.txt,1924-10-29,11,5,6,10748
35604,cn1921-04-13.txt,1921-04-13,7,22,6,10269
6989,cn1918-02-14.txt,1918-02-14,4,15,6,11372
88589,cn1943-05-01.txt,1943-05-01,29,23,6,14209
6499,cn1914-10-29.txt,1914-10-29,1,5,4,5889
91841,cn1962-05-09.txt,1962-05-09,48,21,6,15805
35616,cn1920-11-17.txt,1920-11-17,7,8,6,11801
92044,cn1960-03-23.txt,1960-03-23,46,18,6,14856
91811,cn1955-10-19.txt,1955-10-19,42,3,6,12534
6990,cn1918-02-21.txt,1918-02-21,4,16,6,9698
86630,cn1925-04-15.txt,1925-04-15,11,22,6,10774
89718,cn1951-02-28.txt,1951-02-28,37,14,6,13301
87839,cn1933-11-15.txt,1933-11-15,20,6,8,21524
92907,cn1965-02-12.txt,1965-02-12,51,12,6,13312
91945,cn1958-03-12.txt,1958-03-12,44,16,6,14105
90078,cn1951-03-14.txt,1951-03-14,37,16,6,13118
88022,cn1931-11-17.txt,1931-11-17,18,7,8,19304
6660,cn1916-03-22.txt,1916-03-22,2,22,4,7697
92431,cn1967-12-01.txt,1967-12-01,54,10,4,9104
88766,cn1937-11-17.txt,1937-11-17,24,7,6,13186
6512,cn1915-02-25.txt,1915-02-25,1,18,4,5710
