filename,date,keyword,count,context
cn1915-04-29.txt,1915-04-29,negro or negroes,1,s?  MR. TAFT SPEAKS AT HAMPTON  April 23d was the 47th anniversary of the Hampton Institute for the Negroes and Indians of the United States. Hun- dreds of people from different parts of the country a
cn1916-10-11.txt,1916-10-11,negro or negroes,2,"FIRST: ntinuous mental activity nor even any continuous power of organized gov- ernment. Such are the pure negroes of Africa, the Indians, the Esquimaux, the South Sea Islanders, the Turks, etc. own semi-civ
LAST: a, the Indians, the Esquimaux, the South Sea Islanders, the Turks, etc. own semi-civilized American negroes have shown in Haiti what they revert to when left to themselves. + * * * + +  “These facts m "
cn1917-10-10.txt,1917-10-10,negro or negroes,1,"its work on account of the war. Miss Cheatham has done a great deal of re- search in American and’ negro folk- songs. She also sings French, Russian, and German folk-songs. Miss Cheatham has been rec"
cn1918-05-09.txt,1918-05-09,negro or negroes,2,"FIRST: ed Theology, Chicago University. Wednesday, May 15  7.30 p. m.—Address by Mr. Leslie Hill |  on the negro problem. Friday, May 17 8.00 p. m.—Minstrel Show in the gym- sium by 1920. .For the benefit of
LAST:  Beta Kappa man and class orator. He went through college on scholarships.  His subject will be the negro problem in this country.  NEWS IN BRIEF The secretary and treasurer of the War Council will be "
cn1918-05-23.txt,1918-05-23,negro or negroes,5,"FIRST: hours below merit the Senate will consider each case separately and en-  COLORED EDUCATOR SPEAKS ON NEGRO PROBLEM    The negro problem in the United States w23 defined by Mr. Leslie P. Hill, head cf t
LAST: ce to live in phys- ical decency, and recognition that its worst types are not representative.  The negroes have earned the right to greater consideration than they have had, Mr. Hill affirmed. An inv "
cn1919-01-09.txt,1919-01-09,negro or negroes,1,"irl. If you want to see me again you gotta turn round.’”  Another of Major Davis's stories was of a negro who, when sent out to get a German prisoner, returned without his man. “I had one,” he explain"
cn1919-03-05.txt,1919-03-05,negro or negroes,3,"FIRST:  “The Grasshopper,” and “The Lion in India” (as an encore) were read at the close.  Has Studied the Negro  “The Congo,” a long poem which gives its name to one of Mr. Lindsay’s volumes, he described a
LAST: ous study of the negro, his savagery, his hope of religion and his irrepressible high spirits. “The negro has a religious rather than poetic genius in his singing,” said Mr. Lindsay, “and his religion "
cn1919-03-26.txt,1919-03-26,negro or negroes,7,"FIRST: s the|get. information about their respective]. . the distrust and hatred in the] BETTER CHANCE FOR NEGROES. result of a competition which began after |< shurehes. For instance, Dr. Mutch i ee ee midy
LAST: mes not worth adding to the college ‘col- {lection will be sent to the community cen-| ,|ter and to negro’ schools in the South.  Those volumes not worth preserving at all will go to the Junk Committe "
cn1919-04-09.txt,1919-04-09,negro or negroes,1,"t, the spirit  “during the offensive of last  “Americanization does not mean teach-  whites and the negroes and to the border  Day. “In every city there are great sec- tions of foreigners absolutely c"
cn1919-05-07.txt,1919-05-07,negro or negroes,5,"FIRST: s Visit Cheyney: School for Colored Teachers.  Eleven undergraduates visited the Cheyney School for negro teachers last Saturday. The negro students cooked and served lunch in the model dining room. A
LAST: evelop PRI Announcements  a own satige 8 og abilities. We Booklets, etc.  should give the Poles and negroes and  Italians in the country a chance to ex-| 1011 Lancaster Ave. Bryn Mawr, Pa.  press some "
cn1919-10-14.txt,1919-10-14,negro or negroes,1,"rse also includes Miss Eva Whiting White, head of the New York College Settlement; James Johnson, a negro poet, and several other well-known people.  Programs of the course will be dis- tributed Wedne"
cn1919-11-19.txt,1919-11-19,negro or negroes,2,"FIRST: s. Required gymnastic classes begin. Wednesday, December 3 7.30 p. m.—Lecture on “The Future of the Negro,” by Mr. James Johnson, of the National Association for the Ad- vancement of the Negro. Saturd
LAST: uture of the Negro,” by Mr. James Johnson, of the National Association for the Ad- vancement of the Negro. Saturday, December 6 10.00 a. m.—Varsity Hockey vs. Philadelphia. 8.00 p. m.—Graduate Play fo "
cn1919-11-25.txt,1919-11-25,negro or negroes,6,"FIRST: on, Thursday evening, and spoke to them on graduate work in English universities.    “FUTURE OF THE NEGRO” SUBJECT OF SOCIAL SERVICE LECTURE James Welden Johnson will speak on “The Future of the Negro
LAST: ture of  the Negro,” by Mr. James Johnson,  of the National Association for the  Advancement of the Negro.  Saturday, December 6  10 a. m—Varsity Hockey vs. All Phila-  delphia.  8.00 p. m.—Graduate P "
