file name,date,religion,keyword,context
cn1939-03-15.txt,1939-03-15,Judaism,\sjew[^a-z], the victim himself kressman taylor ha tried to provide such a study it is based on the oldest device of fiction an exchange of letter between two friend one is a german american who re unknown by kressman hitler regime come into power the other is a jew who remains in california their correspondence at first cordial and intimate slowly grows unfriendly and finally savage a the german is drawn into the new movement but a he change so doe the american he too becomes gradually more and more embitt
cn1939-03-15.txt,1939-03-15,Judaism,\sjew[^a-z],narchist the government will then be forced to surrender to franco within a few day mr fenwick concluded witli a discussion of the moral triumph of ghandi the indian martyr forced a rajkot ruler to install democratic reform but ghandi s advice to the jew in germany to fast unto death is unsound ghandi doe not realize that although his method niay work in india it is doubtful whether it will be successful in germany anti fascist story arrives from italy rome one of the numerous underground tale r
cn1917-02-28.txt,1917-02-28,Catholicism,"cathol.{2,6}\s",ndergraduate join together in their gift mr baker the lone crusader mr baker is called the lone crusader because he is the only protestant to make a pilgrimage to the pope to ask for his aid told at a banquet in san francisco that the failure of the catholic to holliday self gov rule against social engagement interpreted le most liberal reading possible a large majority voted to accept the social engagement resolution at the self government meeting last tuesday evening the resolution prohibits s
cn1955-10-02.txt,1955-10-02,Judaism,jewish,m quarter in an effort to practice the principle of the international fellowship of reconciliation amidst the french arab rioting m trocme is renowned for his leadership a pastor and school principal in nazi oceupied france where he saved hundred of jewish child and outwitted the gestapo always by non violent mean in a letter from algiers he challenge student at home i am glad to be ready soon to offer our young pacifist a concrete and perhaps dangerous way to serve the cause of peace should not
cn1960-02-17.txt,1960-02-17,Catholicism,"cathol.{2,6}\s",titled culture and cult cult and music by saying that he wished to talk not a a musician but a an historian he lamented the state of modern music which he say is being taken over by the mathematician more specifically in the case of church music the catholic church in trying to retain it old tradition ha forgotten one of it most sacred legacy that of music by the same token in the protestant religion melody dating from the reformation are rarely found in their place we have victorian ditty this 
cn1960-02-17.txt,1960-02-17,Interfaith,interfaith,ese other officer will take place in opem board meeting to continued on page col aa voting schedule monday feb p m jr meeting to straw ballot for president of u g and s g sophomore and jr meet to suggest candidate for president of aa league alliance interfaith tuesday feb hall rep collect strawballots by u g executive board tabulates tuesday feb dinner start monday feb freshman strawballot for st sophomore to s g tuesday march junior strawhballot for v p of s g and u g wednesday march sophomore 
cn1960-02-17.txt,1960-02-17,Interfaith,interfaith,wednesday march election of v p and sec of s g and u g thursday march elecion of st soph to s g and hall president monday march election of hall v p s junior meeting to elect st senior to s g tuesday march election of president of aa league alliance interfaith art council in goodhart a m to p m wednesday march freshman meeting to elect nd soph to s g st and nd soph to u g sophomore meeting to elect common treasurer and ist and nd jr to s g thursday march sophomore meeting to elect ist and nd jr 
cn1960-02-17.txt,1960-02-17,Interfaith,interfaith,cted in class meeting will take place in open board metings using slate drawn from sugges ion from the junior and sophomre class final slate to be determined by the board dinner schedule for candidate for president of u g sug leagtie aa alliance and interfaith continued on page col ful but even if it had been a fail scientist and cocktail drinker by lois potter did it ever occur to the freshman i wonder what a dangerous thing originality is do something original but not teally one seek originali
cn1960-02-17.txt,1960-02-17,Interfaith,interfaith,ndidate rotate in the same order during the week thus on wednesday the blank will be at col radnor self govt self gov merion undergrad undergrad denbigh alliance alliance self control or pembroke athletic assn athletic assn rock league league rhoads interfaith interfaith batten house grad center trous responsible voting continued from page col which all those interested are invited the burden of election ha been new system the people you choose your best to vote responsibly sue harris letter con
cn1960-02-17.txt,1960-02-17,Interfaith,interfaith,ate in the same order during the week thus on wednesday the blank will be at col radnor self govt self gov merion undergrad undergrad denbigh alliance alliance self control or pembroke athletic assn athletic assn rock league league rhoads interfaith interfaith batten house grad center trous responsible voting continued from page col which all those interested are invited the burden of election ha been new system the people you choose your best to vote responsibly sue harris letter continued from
cn1946-01-23.txt,1946-01-23,Buddhism,"buddhi.{2,4}\s",ng and architecture the religious and cultural environment of each phase of artistic evolution will be presented in sufficient detail to explain it character early indian art will be considered primarily a the source of the transforming influence of buddhism on the far east a course in classical archaeology egyptian and mesopotamian archaeology will be given on monday wednesday and friday at a m taught by dr carpenter english speech taught by mr goodhart hall scheduled later personal girl why th
cn1924-12-03.txt,1924-12-03,Catholicism,"cathol.{2,6}\s",show not only a falling birth in aten shere be are lia ain ne i e if ee sates he rec r boa tions shall cease york one the only one in fact in the united state to the latter in the last two year mother have come of these per cent were jewish per cent catholic and per cent protestant at present effort are being made to establish other clinic throughout the country in the crowded district while the scientific aspect of birth control belong to the medical profession the theoretical side belongs to u
cn1924-12-03.txt,1924-12-03,Judaism,\sjew[^a-z],r haverford ave station rd drive a haverford station p r r bryn mawr flower shop dressmaking and alteration s werum lasst du deine blicke in der wes ue sea pct lm am whe lars ae nkse wenn da gesuchte liegt yo cut flo d ily saab cea t p ba boe heine c jew deity ox i philadel a gue ik gl fancy grocery fruit and vegetable par ult ot eal pp ty corsage and f loral basket william t mcintyre s noel ot i rom cafe old fashioned besquets c specialty e ee the official silver compan spoon ha an d your need 
cn1924-12-03.txt,1924-12-03,Judaism,jewish, result holland show not only a falling birth in aten shere be are lia ain ne i e if ee sates he rec r boa tions shall cease york one the only one in fact in the united state to the latter in the last two year mother have come of these per cent were jewish per cent catholic and per cent protestant at present effort are being made to establish other clinic throughout the country in the crowded district while the scientific aspect of birth control belong to the medical profession the theoretical s
cn1961-03-08.txt,1961-03-08,Buddhism,"buddhi.{2,4}\s",mmittee speaker miss katharine mcbride education the new frontier common room pm march philosophy club speaker mr kline will take a modern look at maxism common room pm march open meeting of interfaith informal talk by miss yamasaki on the nature of buddhism march open meeting of league a case study a runaway girl common room pm thursday and friday march and augusto ganssier will speak in the geology lecture room march current event speaker miss leighton on eichman common room pm march interfait
