file name,keyword,context,date
cn1939-03-15.txt,india,"s ranks from Communists,and Anar- chists. ~The government will then be forced to surrender to Franco within a few days.  Mr. Fenwick concluded witli a dis- cussion of the moral triumph of Ghandi. The Indian martyr forced a Rajkot ruler to install democratic re- forms. But Ghandi’s advice to the Jews in Germany to fast unto death is unsound. Ghandi does not realize that although his method niay wor",1939-03-15
cn1939-03-15.txt,india,"n martyr forced a Rajkot ruler to install democratic re- forms. But Ghandi’s advice to the Jews in Germany to fast unto death is unsound. Ghandi does not realize that although his method niay work in India, it is doubtful whether it will be successful in Germany.    -ANTI-FASCIST STORY ARRIVES FROM ITALY :    Rome.—One'of the numerous un- derground tales recounted here, is that of a raid on a meet",1939-03-15
cn1964-11-13.txt,india,"licas, as described by Dehaven Devlin, President of the Bank, are the  Diamond  exact size and cut-of fifteen of-  the world’s most famous gems. Largest of the collection isthe  Grand Mogul, found in India about...  1650 and presented to Shah Jehan, second of the great Mogul Emper- ors. , : Perhaps the world’s most fam- ous: diamond, the Koh-i-noor  (Mountain of Light), will also be .  on display ",1964-11-13
cn1946-01-23.txt,india,"ng paid. to sculpture, painting and architecture. The re- ligious and cultural environment of each phase of artistic evolution will be presented in sufficient de- tail to explain its character. Early Indian art will be considered, pri- marily as the source of the trans- forming influence of Buddhism on the Far East.  A course in Classical Archaeol- ogy 201, Egyptian and Mesopota- mian Archaeology ",1946-01-23
cn1961-03-08.txt,india,"  'L0:30 am., at the University Museum.  Minor plays by major playwrights: Gore Vidal’s A Visit to a Small Planet plays Thursday through Saturday and March 17 and 18, at the Old Academy Players, 3544 Indian Queen Lane.  Dore Schary’s  a=.  The Highest Tree will be produced by the Stagecrafters at their « theater, 8180 Germantown Avenue, through Saturday. Ballad of a Soldier continues at the World.",1961-03-08
cn1956-02-22.txt,india,"stown, Ohio; he later was  Death.”  ‘58; Sue Levin, ‘58; Marion Perret, ‘58; Anne Schaefer, ‘58; Diane Gold- : . ic Rabbi 4 The USSR deals in_the nee berg, “57, a Baines Hain f th bi Pesniane sent to Indianapolis. He has been jh Nites tae d po Subscription, $3.50. Mailing price, $4.00. Subscription may begin at any s§ Virector 0 e DVepar at the Germantown Soiiah- Caius 5 logy and repres-  ! time; ",1956-02-22
cn1956-02-22.txt,india,"was very often settled by men with a great spirit of adventure, and we are still close in feeling to the pioneers. Finally, the North- west has felt an influence from both the Orient and the American Indian which does not seem to be a part of: the fabric of Eastern civilization.  The external influences of youth and land have shaped our way of life. We are, in spite of our atomic energy plants, ne",1956-02-22
cn1956-02-22.txt,india,", and a tendency to term everyone from the East “snobs”, it is an aversion of the sour-grapes vari- ety. It is hard (and this is not an extreme example) for the resi- dent of an average-sized town in Indiana or Illinois (125,000 popu- lation) to grasp what-the theatre section in New York is like, when his only local opportunity for ‘“‘cul- ture” is the auditorium (which doubles as gymnasium) of th",1956-02-22
cn1955-12-07.txt,india,"here are great problems of farming and health. The ignorance is being partly con-      quered by teaching the children who in turn bring their knowledge  back to their parents. Mrs. Lord also visited India, the  Philippines, Burma, and Formosa. The problems everywhere are sim- ilar; medical and industrial aid are  needed to combat ignorance preva- |  lent in every under-developed com-  ; munity.  ",1955-12-07
cn1962-11-14.txt,india,"tt Mawr, Haverford and  _Swarthmore~ have ‘organized the  second part of a two year pro- gram _in Asian    sible by a’ Ford Foundation’ grant: This year’s subject will be the his- tory and culture of India,  Both an undergraduate course and a faculty seminar * will -be given in the. second*semester. Un-  til then a-series of lectures.is.be-.  _ ing offered to the general public.  _ permanent  se  ",1962-11-14
cn1962-11-14.txt,india,is.be-.  _ ing offered to the general public.  _ permanent  se  ‘The first of these ‘will take place  tonight at 8:30 p.m. in 1 the Common  Room. * Ambassador Artie S. Lall Sill  speak. on the-‘‘Sino-Indian-Border+  Crisis—Background and Analysis.” Mr. Lal]l is. India’s representative to the* International Atomic En- ergy Commission. He was India’s representative. to the  gate to the 18-Nation Con,1962-11-14
cn1962-11-14.txt,india," ‘The first of these ‘will take place  tonight at 8:30 p.m. in 1 the Common  Room. * Ambassador Artie S. Lall Sill  speak. on the-‘‘Sino-Indian-Border+  Crisis—Background and Analysis.” Mr. Lal]l is. India’s representative to the* International Atomic En- ergy Commission. He was India’s representative. to the  gate to the 18-Nation Conference on Disarmament, and is serving as representative of Ind",1962-11-14
