filename,GPE,GPE_clean,count
cn1914-09-30.txt,PA,Pennsylvania,4
cn1914-09-30.txt,Allaha-,Allaha-,1
cn1914-09-30.txt,India,India,1
cn1914-09-30.txt,Houghton,Houghton,1
cn1914-09-30.txt,Worth,Worth,1
cn1914-09-30.txt,Eastwick,Eastwick,1
cn1914-09-30.txt,Rosemary,Rosemary,1
cn1914-09-30.txt,Philadelphia,Philadelphia,3
cn1914-09-30.txt,New York,New York,1
cn1914-09-30.txt,Chicago,Chicago,1
cn1914-09-30.txt,Bryn Mawr,Bryn Mawr,8
cn1914-09-30.txt,Pa.,Pennsylvania,3
cn1914-09-30.txt,Paris,Paris,1
cn1914-09-30.txt,England,England,1
cn1914-09-30.txt,France,France,1
cn1914-09-30.txt,Grenoble,Grenoble,1
cn1914-09-30.txt,Saranac,Saranac,1
cn1914-09-30.txt,La Crosse,La Crosse,1
cn1914-09-30.txt,Pa,Pennsylvania,2
cn1914-09-30.txt,Bryn Mawr,Bryn Mawr,1
cn1914-09-30.txt,Haverford,Haverford,2
cn1914-09-30.txt,Rosemont,Rosemont,1
cn1914-09-30.txt,BRYN MAWR,Bryn Mawr,1
cn1914-09-30.txt,Bryn Mawr 216-D,Bryn Mawr,1
cn1914-09-30.txt,PHILA,Philadelphia,1
cn1914-10-08.txt,PA,Pennsylvania,4
cn1914-10-08.txt,India,India,1
cn1914-10-08.txt,Philadelphia,Philadelphia,2
cn1914-10-08.txt,Philadel- phia,Philadelphia,1
cn1914-10-08.txt,Bryn Mawr,Bryn Mawr,5
cn1914-10-08.txt,Geneva,Geneva,1
cn1914-10-08.txt,Paris,Paris,6
cn1914-10-08.txt,Havre,Havre,2
cn1914-10-08.txt,Tennessee,Tennessee,1
cn1914-10-08.txt,Weymouth,Weymouth,1
cn1914-10-08.txt,Rheims,Rheims,1
cn1914-10-08.txt,Bryn,Bryn UNKNOWN,1
cn1914-10-08.txt,Pa.,Pennsylvania,2
cn1914-10-08.txt,the Uisited States,United States,1
cn1914-10-08.txt,France,France,1
cn1914-10-08.txt,Switzerland,Switzerland,1
cn1914-10-08.txt,Xenia,Xenia,1
cn1914-10-08.txt,Ohio,Ohio,1
cn1914-10-08.txt,Montgomery,Montgomery,1
cn1914-10-08.txt,Boston,Boston,1
cn1914-10-08.txt,China,China,2
cn1914-10-08.txt,Foo Chow,Foo Chow,1
cn1914-10-08.txt,Wuchang,Wuchang,1
cn1914-10-08.txt,Canton,Canton,1
cn1914-10-08.txt,Allport,Allport,1
cn1914-10-08.txt,Koy,Koy,1
cn1914-10-08.txt,Pa,Pennsylvania,1
cn1914-10-08.txt,BRYN MAWR,Bryn Mawr,1
cn1914-10-08.txt,Lancaster,Lancaster,1
cn1914-10-08.txt,New York City,New York City,1
cn1914-10-08.txt,New Jersey,New Jersey,1
cn1914-10-08.txt,Delaware,Delaware,1
cn1914-10-08.txt,Indianapolis,Indianapolis,1
cn1914-10-08.txt,the Western States,Western States,1
cn1914-10-08.txt,Schenec- ttathy,Schenec- ttathy,1
cn1914-10-08.txt,Haveridrd,Haveridrd,1
cn1914-10-08.txt,ROSESIONT,ROSESIONT,1
cn1914-10-08.txt,Bryo Mawr,Bryn Mawr,1
cn1914-10-08.txt,PENNA,Pennsylvania,1
cn1914-10-08.txt,PIANO,PIANO,1
cn1914-10-15.txt,PA,Pennsylvania,2
cn1914-10-15.txt,Belgium,Belgium,2
cn1914-10-15.txt,Aix la Chappelle,Aix la Chappelle,1
cn1914-10-15.txt,Allahabad,Allahabad,1
cn1914-10-15.txt,India,India,1
cn1914-10-15.txt,Mexico,Mexico,1
cn1914-10-15.txt,Haverford,Haverford,1
cn1914-10-15.txt,United States,United States,1
cn1914-10-15.txt,Rock,Rock,1
cn1914-10-15.txt,Chicago,Chicago,1
cn1914-10-15.txt,Bryn Mawr,Bryn Mawr,12
cn1914-10-15.txt,PHILADELPHIA,Philadelphia,1
cn1914-10-15.txt,Germantown,Germantown,1
cn1914-10-15.txt,Geneva,Geneva,2
cn1914-10-15.txt,Englewood,Englewood,1
cn1914-10-15.txt,Richmond,Richmond,1
cn1914-10-15.txt,Va.,Virginia,1
cn1914-10-15.txt,Pa.,Pennsylvania,6
cn1914-10-15.txt,Lancaster,Lancaster,1
