filename,GPE,GPE_clean,count
cn1959-01-14.txt,PA,Pennsylvania,1
cn1959-01-14.txt,North Carolina,North Carolina,1
cn1959-01-14.txt,Minturnae,Minturnae,1
cn1959-01-14.txt,Italy,Italy,1
cn1959-01-14.txt,New York,New York,5
cn1959-01-14.txt,New York City,New York City,1
cn1959-01-14.txt,Ardmore,Ardmore,3
cn1959-01-14.txt,Pa.,Pennsylvania,4
cn1959-01-14.txt,Washington,Washington UNKNOWN,1
cn1959-01-14.txt,the United States,United States,1
cn1959-01-14.txt,Detroit,Detroit,1
cn1959-01-14.txt,Chicago,Chicago,1
cn1959-01-14.txt,San Francisco,San Francisco,1
cn1959-01-14.txt,Ararat,Ararat,1
cn1959-01-14.txt,Virginia,Virginia,1
cn1959-01-14.txt,Pennsylvania,Pennsylvania,2
cn1959-01-14.txt,Russia,Russia,1
cn1959-01-14.txt,Bryn Mawr,Bryn Mawr,4
cn1959-01-14.txt,Paris,Paris,1
cn1959-01-14.txt,England,England,1
cn1959-01-14.txt,Vienna,Vienna,1
cn1959-01-14.txt,BOSTON,Boston,1
cn1959-01-14.txt,NEW YORK 17,New York,1
cn1959-01-14.txt,NEW YORK,New York,1
cn1959-01-14.txt,MONTCLAIR,Montclair,1
cn1959-01-14.txt,NEW JERSEY,New Jersey,1
cn1959-01-14.txt,Olmpia,Olmpia,1
cn1959-01-14.txt,Bryn Mawr,Bryn Mawr,1
cn1959-01-14.txt,Mt. Holyoke,Mount Holyoke College,1
cn1959-01-14.txt,Massachusetts,Massachusetts,1
cn1959-01-14.txt,Mt.,Mt UNKNOWN,1
cn1959-01-14.txt,Amherst,Amherst,1
cn1959-01-14.txt,Penna,Pennsylvania,1
cn1959-01-14.txt,Phila,Philadelphia,1
cn1959-01-14.txt,New York 22,New York,1
cn1959-02-11.txt,PA,Pennsylvania,1
cn1959-02-11.txt,Bryn Mawr,Bryn Mawr,4
cn1959-02-11.txt,Alsace,Alsace,1
cn1959-02-11.txt,France,France,2
cn1959-02-11.txt,Rochester,Rochester,1
cn1959-02-11.txt,New,New UNKNOWN,1
cn1959-02-11.txt,New York,New York,4
cn1959-02-11.txt,Tamale,Tamale,1
cn1959-02-11.txt,Sonny Valley,Sonny Valley,1
cn1959-02-11.txt,Ardmore,Ardmore,2
cn1959-02-11.txt,Pa.,Pennsylvania,3
cn1959-02-11.txt,the United States,United States,1
cn1959-02-11.txt,England,England,2
cn1959-02-11.txt,Chicago,Chicago,1
